"","sample_SRR1039508","sample_SRR1039512","sample_SRR1039509","sample_SRR1039513"
"ENSG00000223972",43.6086609915657,73.4902421831169,0,32.2089195769518
"ENSG00000227232",610.521253881919,832.889411408658,484.010592439514,676.387311115988
"ENSG00000243485",21.8043304957828,73.4902421831169,23.0481234495007,96.6267587308554
"ENSG00000237613",0,97.9869895774892,23.0481234495007,0
"ENSG00000238009",0,73.4902421831169,0,32.2089195769518
"ENSG00000241860",21.8043304957828,97.9869895774892,46.0962468990013,32.2089195769518
"ENSG00000279457",1024.80353330179,1102.35363274675,737.539950384021,869.640828577699
"ENSG00000228463",1569.91179569636,1420.81134887359,829.732444182024,773.014069846844
"ENSG00000236679",43.6086609915657,48.9934947887446,115.240617247503,64.4178391539036
"ENSG00000237094",0,171.477231760606,23.0481234495007,64.4178391539036
"ENSG00000250575",0,24.4967473943723,0,32.2089195769518
"ENSG00000225972",12341.2510606131,20454.7840743009,16341.119525696,21934.2742319042
"ENSG00000225630",53267.9794011975,82823.5029403727,56260.4693402311,84580.6228090755
"ENSG00000237973",394505.751660199,565776.877820422,421941.995990009,478109.202200273
"ENSG00000229344",49103.3522765029,128803.897799609,68222.445410522,108125.343019827
"ENSG00000240409",10749.5349344209,19156.4564623991,11823.6873295938,17908.1592847852
"ENSG00000248527",95306.7285970667,149234.185126516,106735.859694638,144070.497267705
"ENSG00000198744",79345.9586741537,78830.53311509,92284.6862918007,103036.333726669
"ENSG00000228327",283.456296445177,171.477231760606,230.481234495007,225.462437038663
"ENSG00000237491",261.651965949394,0,368.769975192011,225.462437038663
"ENSG00000230092",152.63031347048,0,23.0481234495007,32.2089195769518
"ENSG00000228794",479.695270907222,0,576.203086237517,740.805150269892
"ENSG00000225880",130.825982974697,0,0,193.253517461711
"ENSG00000234711",196.238974462045,0,92.1924937980027,96.6267587308554
"ENSG00000187634",370.673618428308,0,92.1924937980027,0
"ENSG00000188976",2136.82438858672,24.4967473943723,2420.05296219757,1868.11733546321
"ENSG00000187961",893.977550327096,0,507.058715889015,322.089195769518
"ENSG00000187583",65.4129914873485,0,23.0481234495007,0
"ENSG00000188290",130.825982974697,0,138.288740697004,0
"ENSG00000187608",654.129914873485,0,622.299333136518,225.462437038663
"ENSG00000231702",1242.84683825962,0,1060.21367867703,1159.52110477027
"ENSG00000188157",4949.5830225427,0,3572.4591346726,3156.47411854128
"ENSG00000131591",327.064957436742,0,138.288740697004,257.671356615615
"ENSG00000078808",8808.94952029626,0,9933.74120673479,8728.61720535394
"ENSG00000176022",937.586211318662,0,944.973061429528,515.342713231229
"ENSG00000160087",1199.23817726806,0,1129.35804902553,1320.56570265502
"ENSG00000230415",21.8043304957828,0,23.0481234495007,32.2089195769518
"ENSG00000162572",283.456296445177,0,161.336864146505,257.671356615615
"ENSG00000131584",3684.9318537873,0,2673.58232014208,1449.40138096283
"ENSG00000169972",392.477948924091,0,368.769975192011,257.671356615615
"ENSG00000127054",2834.56296445177,0,2212.61985115206,1964.74409419406
"ENSG00000240731",21.8043304957828,0,69.144370348502,64.4178391539036
"ENSG00000224051",763.151567352399,0,576.203086237517,773.014069846844
"ENSG00000107404",2289.4547020572,0,2489.19733254607,2029.16193334796
"ENSG00000162576",22872.7426900762,24.4967473943723,22978.9790791522,22385.1991059815
"ENSG00000175756",1657.1291176795,0,1498.12802421754,1159.52110477027
"ENSG00000221978",8699.92786781735,0,9380.58624394677,9308.37775773907
"ENSG00000224870",457.890940411439,0,599.251209687017,386.507034923422
"ENSG00000242485",959.390541814444,0,1359.83928352054,1127.31218519331
"ENSG00000272455",414.282279419874,0,230.481234495007,676.387311115988
"ENSG00000235098",87.2173219831313,0,184.384987596005,32.2089195769518
"ENSG00000179403",327.064957436742,0,230.481234495007,193.253517461711
"ENSG00000160072",501.499601403005,0,460.962468990013,515.342713231229
"ENSG00000197785",327.064957436742,0,553.154962788016,450.924874077325
"ENSG00000205090",152.63031347048,0,138.288740697004,128.835678307807
"ENSG00000160075",3728.54051477886,0,4125.61409746062,4315.99522331154
"ENSG00000228594",436.086609915657,0,253.529357944507,128.835678307807
"ENSG00000272106",152.63031347048,0,0,225.462437038663
"ENSG00000197530",2354.86769354455,0,1866.89799940955,998.476506885506
"ENSG00000248333",1308.25982974697,0,1290.69491317204,1288.35678307807
"ENSG00000189339",3205.23658288008,0,1936.04236975806,2544.50464657919
"ENSG00000269737",87.2173219831313,0,115.240617247503,32.2089195769518
"ENSG00000008128",43.6086609915657,0,161.336864146505,32.2089195769518
"ENSG00000268575",130.825982974697,0,92.1924937980027,161.044597884759
"ENSG00000215790",1221.04250776384,24.4967473943723,829.732444182024,483.133793654277
"ENSG00000008130",2158.6287190825,0,3365.0260236271,3220.89195769518
"ENSG00000078369",15132.2053640733,0,13805.8259462509,16813.0560191688
"ENSG00000169885",21.8043304957828,0,46.0962468990013,96.6267587308554
"ENSG00000142609",43.6086609915657,0,46.0962468990013,32.2089195769518
"ENSG00000187730",21.8043304957828,0,0,64.4178391539036
"ENSG00000067606",0,0,46.0962468990013,64.4178391539036
"ENSG00000182873",0,0,46.0962468990013,32.2089195769518
"ENSG00000162585",1373.67282123432,0,1636.41676491455,1256.14786350112
"ENSG00000157933",4404.47476014813,0,4010.37348021312,3832.86142965727
"ENSG00000116151",87.2173219831313,0,138.288740697004,128.835678307807
"ENSG00000269896",109.021652478914,0,69.144370348502,193.253517461711
"ENSG00000157916",3466.88854882947,0,4955.34654164264,3865.07034923422
"ENSG00000157911",436.086609915657,0,276.577481394008,322.089195769518
"ENSG00000157881",566.912592890353,0,968.021184879028,354.29811534647
"ENSG00000157873",1264.6511687554,0,1129.35804902553,515.342713231229
"ENSG00000157870",675.934245369268,0,1014.11743177803,773.014069846844
"ENSG00000177133",21.8043304957828,0,23.0481234495007,0
"ENSG00000142611",152.63031347048,0,92.1924937980027,64.4178391539036
"ENSG00000162591",784.955897848182,0,668.39558003552,1578.23705927064
"ENSG00000158109",3706.73618428308,0,2581.38982634408,4283.78630373459
"ENSG00000116213",632.325584377702,0,760.588073833522,547.551632808181
"ENSG00000227372",2027.8027361078,0,1175.45429592453,1610.44597884759
"ENSG00000162592",21.8043304957828,0,23.0481234495007,0
"ENSG00000235169",109.021652478914,0,23.0481234495007,0
"ENSG00000130764",1373.67282123432,0,1498.12802421754,1578.23705927064
"ENSG00000272153",21.8043304957828,0,23.0481234495007,0
"ENSG00000116198",1242.84683825962,0,1359.83928352054,1417.19246138588
"ENSG00000169598",174.434643966263,0,276.577481394008,225.462437038663
"ENSG00000198912",719.542906360833,0,645.347456586019,773.014069846844
"ENSG00000284703",21.8043304957828,0,23.0481234495007,0
"ENSG00000131697",741.347236856616,0,714.491826934521,193.253517461711
"ENSG00000069424",370.673618428308,0,507.058715889015,515.342713231229
"ENSG00000116251",20605.0923185148,0,19245.1830803331,18004.7860435161
"ENSG00000158286",152.63031347048,0,46.0962468990013,225.462437038663
"ENSG00000116237",5407.47396295414,0,0,6184.11255877475
"ENSG00000158292",1875.17242263732,0,0,708.59623069294
"ENSG00000097021",370.673618428308,0,0,1191.73002434722
"ENSG00000069812",43.6086609915657,0,0,32.2089195769518
"ENSG00000215788",0,0,23.0481234495007,64.4178391539036
"ENSG00000162408",21.8043304957828,0,0,547.551632808181
"ENSG00000162413",65.4129914873485,0,46.0962468990013,6506.20175454427
"ENSG00000116288",43.6086609915657,0,0,3736.23467092641
"ENSG00000284747",21.8043304957828,0,0,96.6267587308554
"ENSG00000131686",43.6086609915657,0,0,32.2089195769518
"ENSG00000180758",65.4129914873485,24.4967473943723,69.144370348502,193.253517461711
"ENSG00000049239",21.8043304957828,0,0,16941.8916974767
"ENSG00000284693",21.8043304957828,0,0,64.4178391539036
"ENSG00000171612",21.8043304957828,0,23.0481234495007,161.044597884759
"ENSG00000280113",0,0,23.0481234495007,32.2089195769518
"ENSG00000173614",0,0,23.0481234495007,740.805150269892
